file,sheet,max_force,maxstrain,modulo_young,maxstrainext,length,thickness,width,transverse_area
Compressivedata.xlsx,G29A,,,,,,,,
Compressivedata.xlsx,G29B,,,,,,,,
Compressivedata.xlsx,G29C,,,,,,,,
Compressivedata.xlsx,G29D,,,,,,,,
Compressivedata.xlsx,G42A,,,,,,,,
Compressivedata.xlsx,G42B,,,,,,,,
Compressivedata.xlsx,G42C,,,,,,,,
Compressivedata.xlsx,G42D,,,,,,,,
Compressivedata.xlsx,G62A,,,,,,,,
Compressivedata.xlsx,G62B,,,,,,,,
Compressivedata.xlsx,G62C,,,,,,,,
Compressivedata.xlsx,G62D,,,,,,,,
Compressivedata.xlsx,H36A,,,,,,,,
Compressivedata.xlsx,H36B,,,,,,,,
Compressivedata.xlsx,H36C,,,,,,,,
Compressivedata.xlsx,H36D,,,,,,,,
Compressivedata.xlsx,H36E,,,,,,,,
Compressivedata.xlsx,H44A,,,,,,,,
Compressivedata.xlsx,H44B,,,,,,,,
Compressivedata.xlsx,H44C,,,,,,,,
Compressivedata.xlsx,H44D,,,,,,,,
Compressivedata.xlsx,H67B,,,,,,,,
Compressivedata.xlsx,H67C,,,,,,,,
Compressivedata.xlsx,H67D,,,,,,,,
Compressivedata.xlsx,H67A,,,,,,,,
Compressivedata.xlsx,T24A,,,,,,,,
Compressivedata.xlsx,T24B,,,,,,,,
Compressivedata.xlsx,T37A,,,,,,,,
Compressivedata.xlsx,T37B,,,,,,,,
Compressivedata.xlsx,T37C,,,,,,,,
Compressivedata.xlsx,T37D,,,,,,,,
Compressivedata.xlsx,T45QA,,,,,,,,
Compressivedata.xlsx,T45QB,,,,,,,,
Compressivedata.xlsx,TQ45C,,,,,,,,
Compressivedata.xlsx,TQ45D,,,,,,,,
TensiondataA.xlsx,Sol.A,1730.45690917969,0.029383792753786,2105.2,0.0259746494702994,,,,
TensiondataA.xlsx,Sol.B,1759.64025878906,0.0216114590875804,2021.2,0.3101731650531292,,,,
TensiondataA.xlsx,Sol.C,1813.689453125,0.0253353733569384,2246.6,0.2757332846522332,,,,
TensiondataA.xlsx,Sol.D,1788.13830566406,0.026921690441668,2147.549534824047,0.0250459928065538,,,,
TensiondataA.xlsx,G36A,281.489349365234,0.0122816557995975,1556.1,0.1173388957977296,,,,
TensiondataA.xlsx,G36B,241.377334594727,0.0139322876930237,,0.1198878698050976,,,,
TensiondataA.xlsx,G36C,218.922210693359,0.0065580365480855,1281.6,0.0036449858453124,,,,
TensiondataA.xlsx,G55A,399.64404296875,0.0070505263283848,2294.1,0.0080422521568834,,,,
TensiondataA.xlsx,G55B,480.221588134766,0.0094454525969922,2201.1,0.118650123476982,,,,
TensiondataA.xlsx,G55C,279.980895996094,0.0058467150665819,2158.1,0.0062915321905166,,,,
TensiondataA.xlsx,G75A,317.506072998047,0.0049705983838066,2792.4,0.0036496354732662,,,,
TensiondataA.xlsx,G75B,262.679565429688,0.0046555994777008,2668.7,0.0039542737067677,,,,
TensiondataA.xlsx,G75C,398.975402832031,0.006636106991209,2524.2,0.0098310259636491,,,,
TensiondataA.xlsx,T49A,109.196548461914,0.0285514397546649,,0.1817302964627744,,,,
TensiondataA.xlsx,T49B,84.9111557006836,0.0158324814401567,,0.2908955514431,,,,
TensiondataA.xlsx,T49C,104.968368530273,0.0124040979426354,,0.2406679838895796,,,,
TensiondataA.xlsx,T49D,140.366088867188,0.0310665788128972,,0.2385584637522696,,,,
TensiondataA.xlsx,T66A,203.492095947266,0.0089420558651909,,0.0080670381430536,,,,
TensiondataA.xlsx,T66B,145.809692382813,0.0198547123000026,,0.1737612858414648,,,,
TensiondataA.xlsx,T66C,293.457824707031,0.0126531242858619,,0.2516500279307364,,,,
TensiondataA.xlsx,T66D,231.536575317383,0.0113922357559204,,0.0021585078502539,,,,
TensiondataA.xlsx,T66E,242.127502441406,0.0110319966915995,,0.010539322393015,,,,
TensiondataA.xlsx,H22A,74.1251068115234,0.0227052439004183,,0.0081089482409879,,,,
TensiondataA.xlsx,H22B,64.8375701904297,0.0329471309669316,292.770700059761,0.219007544219494,,,,
TensiondataA.xlsx,H22C,98.4381484985352,0.0284275528974831,282.6715183428491,0.208117924630642,,,,
TensiondataA.xlsx,H22D,68.5067367553711,0.0106566597241908,313.7744054877605,0.1935173012316228,,,,
TensiondataA.xlsx,H35A,76.234977722168,0.0108331674709916,304.9435259282664,0.2538180723786356,,,,
TensiondataA.xlsx,H35B,56.3201370239258,0.0148492713924497,,0.408405214548112,,,,
TensiondataA.xlsx,H35C,97.4736709594727,0.0150250119622797,,0.1948814466595648,,,,
TensiondataA.xlsx,H35D,89.0296859741211,0.015728558646515,371.2158976737645,0.2009980380535124,,,,
TensiondataB.xlsx,10RA,,,,,,,,
TensiondataB.xlsx,10RB,,,,,,,,
TensiondataB.xlsx,10RC,,,,,,,,
TensiondataB.xlsx,36RA(1mmmin),,,,,,,,
TensiondataB.xlsx,36RB,,,,,,,,
TensiondataB.xlsx,36RC,,,,,,,,
TensiondataB.xlsx,56RA,,,,,,,,
TensiondataB.xlsx,56RB,,,,,,,,
TensiondataB.xlsx,56RC,,,,,,,,
TensiondataB.xlsx,90RA,,,,,,,,
TensiondataB.xlsx,90RB,,,,,,,,
TensiondataB.xlsx,90RC,,,,,,,,
TensiondataB.xlsx,28TA,,,,,,,,
TensiondataB.xlsx,28TC,,,,,,,,
TensiondataB.xlsx,46TA,,,,,,,,
TensiondataB.xlsx,46TB,,,,,,,,
TensiondataB.xlsx,46TC,,,,,,,,
TensiondataB.xlsx,55TA,,,,,,,,
TensiondataB.xlsx,28TB,,,,,,,,
TensiondataB.xlsx,55TB,,,,,,,,
TensiondataB.xlsx,T37B,,,,,,,,
TensiondataB.xlsx,T37A,,,,,,,,
TensiondataB.xlsx,55TC,,,,,,,,
TensiondataB.xlsx,WHA,,,,,,,,
TensiondataB.xlsx,WHB,,,,,,,,
TensiondataB.xlsx,WHC,,,,,,,,
TensiondataB.xlsx,XHA,,,,,,,,
TensiondataB.xlsx,XHB,,,,,,,,
TensiondataB.xlsx,XHC,,,,,,,,
TensiondataB.xlsx,YHA,,,,,,,,
TensiondataB.xlsx,YHB,,,,,,,,
TensiondataB.xlsx,YHC,,,,,,,,
TensiondataB.xlsx,ZHA,,,,,,,,
TensiondataB.xlsx,ZHB,,,,,,,,
TensiondataB.xlsx,ZHC,,,,,,,,
